'1. Block','2. Trial','3. Stimulus','4. Offset','5. fliplr','6. Order','7. Ident Resp','8. Discrim Resp','9. Ident Correct','10. Discrim Correct','11. Ident RT','12. Discrim RT',13. Question Condition',14. Participant ID'
1,1,-0.25,0.25,1,2,1,1,1,0,1.438748104,1.750847577,2,S01
1,2,-2,2,1,1,1,2,1,0,2.155423796,3.299460512,2,S01
1,3,4,4,1,1,1,1,0,1,0.407030131,0.735003985,2,S01
1,4,0.25,0.25,2,2,2,2,1,1,1.015429556,2.127339885,2,S01
1,5,8,8,2,1,2,2,1,0,0.979488898,1.347521048,2,S01
1,6,1,1,2,2,1,1,0,0,0.424149674,0.704086839,2,S01
1,7,-0.5,0.5,2,1,1,1,1,1,0.515972295,0.803931021,2,S01
1,8,-0.5,0.5,2,2,2,2,0,1,0.541710473,0.853624303,2,S01
1,9,-0.5,0.5,2,1,1,1,1,1,0.264360528,0.608366333,2,S01
1,10,0.5,0.5,2,2,1,1,0,0,0.426244263,0.610216115,2,S01
1,11,1,1,1,2,2,2,1,1,0.435994862,0.731947075,2,S01
1,12,-2,2,2,2,1,2,1,1,0.424598838,0.696198399,2,S01
1,13,-1,1,2,2,1,1,1,0,0.551550724,0.832270304,2,S01
1,14,-0.5,0.5,1,2,1,1,1,0,0.569781706,0.809866142,2,S01
1,15,0.5,0.5,2,1,2,2,1,0,0.299594838,0.467607186,2,S01
1,16,-1,1,1,2,2,2,0,1,0.459231245,0.650575664,2,S01
1,17,8,8,1,1,2,2,1,0,0.093278592,0.397379748,2,S01
1,18,-2,2,2,1,1,1,1,1,0.018910878,0.194971952,2,S01
1,19,4,4,1,2,1,1,0,0,1.112484574,1.240409648,2,S01
1,20,-1,1,1,1,2,2,0,0,0.134909866,0.438977516,2,S01
1,21,-0.25,0.25,2,2,1,1,1,0,0.333388384,0.541354885,2,S01
1,22,-1,1,2,1,1,1,1,1,0.166306361,0.397854268,2,S01
1,23,-1,1,2,2,1,1,1,0,0.115411988,0.459406322,2,S01
1,24,-0.5,0.5,1,1,1,2,1,0,0.4461255,0.710236279,2,S01
1,25,-4,4,1,1,1,1,1,1,0.342069804,0.566060709,2,S01
1,26,-4,4,1,1,1,1,1,1,1.48688018,1.750875952,2,S01
1,27,0.5,0.5,2,1,1,1,0,1,0.179520473,0.499424168,2,S01
1,28,2,2,1,2,1,1,0,0,0.199776013,0.439132369,2,S01
1,29,-0.5,0.5,1,2,1,2,1,1,1.493693706,1.757612504,2,S01
1,30,0.5,0.5,2,2,1,1,0,0,0.142594553,0.694468756,2,S01
1,31,0.5,0.5,2,2,1,1,0,0,0.317879853,0.645923135,2,S01
1,32,8,8,1,2,2,2,1,1,0.61245137,0.956590898,2,S01
1,33,-2,2,2,2,1,2,1,1,0.709312897,1.005228283,2,S01
1,34,8,8,1,2,2,2,1,1,0.495033652,0.814925876,2,S01
1,35,-0.5,0.5,2,2,2,2,0,1,0.773124355,0.981062783,2,S01
1,36,-2,2,1,1,1,1,1,1,0.486435544,0.758461629,2,S01
1,37,0.25,0.25,1,1,2,2,1,0,1.151276275,1.463256816,2,S01
1,38,-2,2,2,1,2,2,0,0,0.302957832,0.590175196,2,S01
1,39,-8,8,2,2,1,1,1,0,0.208106675,0.567592334,2,S01
1,40,-2,2,1,2,1,2,1,1,0.072428694,0.440395642,2,S01
1,41,2,2,1,2,2,2,1,1,0.35891677,0.670926893,2,S01
1,42,1,1,1,1,1,2,0,0,1.26994972,2.013888272,2,S01
1,43,0.25,0.25,2,1,1,2,0,0,0.575679397,0.863670723,2,S01
1,44,-8,8,1,2,1,2,1,1,0.430610933,0.758625236,2,S01
1,45,1,1,2,1,1,2,0,0,0.312112263,0.591517857,2,S01
1,46,8,8,2,2,2,2,1,1,0.365115715,0.709013153,2,S01
1,47,0.5,0.5,1,1,1,2,0,0,0.392772196,0.696682276,2,S01
1,48,8,8,2,2,2,2,1,1,0.448088177,0.73606924,2,S01
1,49,2,2,1,1,1,2,0,0,0.440445147,0.720459588,2,S01
1,50,-4,4,2,1,1,1,1,1,0.29636919,0.584375005,2,S01
1,51,2,2,1,1,1,1,0,1,0.193802858,0.481828897,2,S01
1,52,-1,1,1,1,2,2,0,0,0.381499631,0.644967756,2,S01
1,53,2,2,2,1,1,2,0,0,0.307528558,0.643492277,2,S01
1,54,-1,1,1,2,1,2,1,1,0.634379502,0.969907037,2,S01
1,55,-4,4,2,2,1,2,1,1,0.287358745,0.606996504,2,S01
1,56,4,4,1,2,2,2,1,1,0.32889916,0.63281739,2,S01
1,57,-1,1,1,1,1,2,1,0,1.019045506,1.36307878,2,S01
1,58,-8,8,2,1,1,1,1,1,0.260027666,0.57993287,2,S01
1,59,-2,2,1,2,1,2,1,1,0.373368497,0.677215489,2,S01
1,60,8,8,1,1,2,1,1,1,0.256465144,0.584556119,2,S01
1,61,-8,8,2,2,1,2,1,1,0.393816925,0.689751629,2,S01
1,62,-4,4,2,2,1,2,1,1,0.409418729,0.729205907,2,S01
1,63,4,4,2,2,2,2,1,1,0.333438492,0.605324515,2,S01
1,64,0.5,0.5,1,1,1,2,0,0,0.311214237,0.703126933,2,S01
1,65,-0.5,0.5,1,1,1,2,1,0,0.386861525,0.690849787,2,S01
1,66,-4,4,2,2,1,2,1,1,0.28234127,0.570326257,2,S01
1,67,8,8,1,2,2,2,1,1,0.31939548,0.631403792,2,S01
1,68,1,1,1,1,1,1,0,1,1.321613528,1.625700195,2,S01
1,69,0.5,0.5,1,1,1,1,0,1,0.071559043,0.384265853,2,S01
1,70,-4,4,2,1,1,1,1,1,0.321624395,0.593145775,2,S01
1,71,8,8,2,1,2,2,1,0,0.351021688,0.62252556,2,S01
1,72,-4,4,1,2,1,2,1,1,0.348546457,0.620488023,2,S01
1,73,-2,2,2,2,1,2,1,1,0.482694926,0.746578105,2,S01
1,74,-1,1,2,1,1,2,1,0,0.367180721,0.615206725,2,S01
1,75,4,4,2,2,2,2,1,1,0.757276839,1.053314477,2,S01
1,76,-8,8,1,1,1,1,1,1,0.392007893,0.800537237,2,S01
1,77,1,1,1,2,1,1,0,0,0.557559196,0.821623188,2,S01
1,78,0.25,0.25,1,1,1,2,0,0,1.083671979,1.811566203,2,S01
1,79,2,2,2,1,2,2,1,0,0.549370407,0.797330304,2,S01
1,80,-4,4,1,1,1,1,1,1,0.298858306,0.602906637,2,S01
1,81,-1,1,2,2,1,1,1,0,0.840520068,1.104532743,2,S01
1,82,2,2,2,2,2,2,1,1,0.572218903,0.812158447,2,S01
1,83,4,4,2,2,2,2,1,1,0.046008923,0.333932633,2,S01
1,84,-0.5,0.5,2,2,1,1,1,0,0.358272908,0.550314919,2,S01
1,85,-8,8,1,2,1,2,1,1,0.378993309,0.842940663,2,S01
1,86,-8,8,2,1,1,1,1,1,0.249436997,0.489379862,2,S01
1,87,-0.5,0.5,2,1,1,1,1,1,0.4647981,0.792761389,2,S01
1,88,-0.5,0.5,2,1,1,2,1,0,0.294438208,0.550422381,2,S01
1,89,4,4,1,1,2,1,1,1,0.499035074,0.731100364,2,S01
1,90,-0.25,0.25,1,1,1,2,1,0,0.423609349,0.647129961,2,S01
1,91,8,8,2,1,2,1,1,1,0.27759094,0.525611811,2,S01
1,92,4,4,2,1,2,1,1,1,1.185759263,1.457835456,2,S01
1,93,-4,4,1,2,1,2,1,1,0.060590449,0.340576817,2,S01
1,94,-1,1,1,1,1,1,1,1,1.460890555,1.65286646,2,S01
1,95,-0.25,0.25,1,2,1,1,1,0,0.319620967,0.5117152,2,S01
1,96,-1,1,1,2,1,1,1,0,0.207604384,0.439498522,2,S01
1,97,1,1,1,1,2,2,1,0,1.246011519,1.478046322,2,S01
1,98,0.25,0.25,2,1,2,2,1,0,0.337251857,0.553265878,2,S01
1,99,1,1,2,2,2,2,1,1,0.237887026,0.430359787,2,S01
1,100,2,2,2,2,1,1,0,0,0.176118539,0.400105521,2,S01
1,101,0.25,0.25,1,1,2,2,1,0,0.373757893,0.677701782,2,S01
1,102,-2,2,1,2,2,2,0,1,0.096883977,0.384901565,2,S01
1,103,-0.25,0.25,2,1,1,1,1,1,0.122326636,0.33031638,2,S01
1,104,4,4,2,1,2,2,1,0,0.582418968,0.790483271,2,S01
1,105,-0.25,0.25,1,2,2,2,0,1,0.895685422,1.111741099,2,S01
1,106,2,2,1,1,1,2,0,0,0.375753473,0.695733538,2,S01
1,107,4,4,2,2,2,2,1,1,0.37507369,0.598984905,2,S01
1,108,-2,2,1,1,1,1,1,1,0.380758873,0.564595493,2,S01
1,109,-4,4,1,2,2,1,0,0,0.326166142,0.461497591,2,S01
1,110,2,2,1,1,1,1,0,1,0.340535764,0.612858877,2,S01
1,111,0.25,0.25,2,2,2,2,1,1,0.422372639,0.534320399,2,S01
1,112,8,8,1,1,2,1,1,1,0.302693405,0.486637487,2,S01
1,113,0.5,0.5,2,1,2,1,1,1,0.206320585,0.438116015,2,S01
1,114,0.5,0.5,1,1,2,1,1,1,0.360299881,0.632384526,2,S01
1,115,0.5,0.5,1,2,2,2,1,1,0.346714183,0.546716477,2,S01
1,116,-0.25,0.25,1,1,1,1,1,1,0.231272725,0.503256852,2,S01
1,117,-0.5,0.5,2,2,2,2,0,1,0.258975089,0.498972589,2,S01
1,118,-4,4,2,1,1,1,1,1,0.486776945,0.742637658,2,S01
1,119,2,2,1,2,1,2,0,1,1.263085784,1.935048841,2,S01
1,120,4,4,1,1,2,2,1,0,0.255376042,0.479351251,2,S01
1,121,8,8,2,2,2,2,1,1,0.298671758,0.4905725,2,S01
1,122,4,4,1,1,2,2,1,0,0.442124983,0.83398093,2,S01
1,123,-4,4,2,2,1,2,1,1,0.564293032,0.828319291,2,S01
1,124,1,1,1,1,2,1,1,1,3.358600423,4.030459944,2,S01
1,125,8,8,2,1,2,1,1,1,0.408715703,0.73663643,2,S01
1,126,4,4,2,1,2,1,1,1,0.337764411,0.553224523,2,S01
1,127,4,4,1,2,1,2,0,1,2.493740494,3.117598341,2,S01
1,128,0.5,0.5,1,2,1,2,0,1,0.437685264,0.717533985,2,S01
1,129,-0.25,0.25,2,2,2,1,0,0,0.57343388,1.1653863,2,S01
1,130,0.25,0.25,2,1,2,2,1,0,1.134346902,1.31072885,2,S01
1,131,-0.5,0.5,1,1,1,2,1,0,0.686255818,0.862151776,2,S01
1,132,0.25,0.25,1,2,1,1,0,0,0.84511947,1.06114315,2,S01
1,133,-1,1,2,1,1,2,1,0,0.095976594,0.3278656,2,S01
1,134,2,2,2,1,2,1,1,1,0.388007678,0.612048994,2,S01
1,135,8,8,1,1,2,1,1,1,0.31015351,0.445912389,2,S01
1,136,-2,2,2,2,1,2,1,1,0.556311318,0.804302003,2,S01
1,137,-4,4,2,1,1,1,1,1,0.350259498,0.48621066,2,S01
1,138,2,2,2,2,2,2,1,1,0.397648401,0.59770835,2,S01
1,139,4,4,2,1,2,1,1,1,0.283188886,0.555075815,2,S01
1,140,1,1,1,2,1,1,0,0,0.503797479,0.639754678,2,S01
1,141,-8,8,2,2,1,1,1,0,0.214344861,0.478238303,2,S01
1,142,0.5,0.5,2,1,1,1,0,1,0.209504879,0.409562111,2,S01
1,143,1,1,1,2,1,2,0,1,1.083275942,1.29926189,2,S01
1,144,0.5,0.5,1,2,1,1,0,0,0.310931397,0.542963483,2,S01
1,145,-2,2,1,1,1,1,1,1,0.111293445,0.359358689,2,S01
1,146,0.25,0.25,2,2,1,1,0,0,0.376224672,0.568202992,2,S01
1,147,-0.25,0.25,2,1,1,1,1,1,0.221420098,0.389433954,2,S01
1,148,0.25,0.25,2,2,1,1,0,0,0.134586275,0.318666494,2,S01
1,149,0.5,0.5,2,2,1,1,0,0,0.182599721,0.390603652,2,S01
1,150,0.25,0.25,1,2,1,1,0,0,0.279979839,0.559897082,2,S01
1,151,-8,8,2,2,1,2,1,1,0.240788781,0.472795813,2,S01
1,152,1,1,2,1,1,2,0,0,0.511690448,0.735738102,2,S01
1,153,-8,8,2,1,1,1,1,1,0.448134663,0.664116687,2,S01
1,154,-1,1,2,2,1,2,1,1,0.335068824,0.599073349,2,S01
1,155,-0.25,0.25,1,1,1,1,1,1,0.404644249,0.597140254,2,S01
1,156,-2,2,2,1,1,1,1,1,0.306222421,0.570252302,2,S01
1,157,0.25,0.25,1,1,1,1,0,1,0.295383323,0.44735406,2,S01
1,158,1,1,2,1,1,1,0,1,0.325835005,0.509810781,2,S01
1,159,-8,8,2,1,1,1,1,1,0.229827432,0.453742269,2,S01
1,160,-0.25,0.25,1,1,1,1,1,1,0.073088856,0.320472205,2,S01
1,161,-0.25,0.25,2,2,2,2,0,1,0.100678326,0.308577814,2,S01
1,162,-8,8,1,2,1,2,1,1,0.18101195,0.556510242,2,S01
1,163,0.25,0.25,1,2,1,1,0,0,0.077427152,0.277413749,2,S01
1,164,-0.5,0.5,1,2,1,1,1,0,0.104623301,0.344675739,2,S01
